Entity,Code,Year,Solar - % electricity,time
Mongolia,MNG,2023,2.0987654,2023
Montenegro,MNE,2023,0,2023
Morocco,MAR,2023,4.8371873,2023
Mozambique,,,0.36803365,2022
Myanmar,MMR,2023,1.6528927,2023
Namibia,,,37.037037,2022
Nauru,,,0,2022
Nepal,,,1.4256619,2022
Netherlands,NLD,2023,17.314777,2023
New Caledonia,,,6.569343,2022
New Zealand,NZL,2023,0.4716981,2023
Nicaragua,,,0.6976744,2022
Niger,,,6.329114,2022
Nigeria,NGA,2023,0.123001225,2023
North Korea,,,0.31418312,2022
North Macedonia,MKD,2023,4.9926577,2023
Norway,NOR,2023,0.11068429,2023
Oman,OMN,2023,0.6028132,2023
Pakistan,PAK,2023,0.9003415,2023
Palestine,,,22.580645,2022
Panama,,,4.8652697,2022
Papua New Guinea,,,0,2022
Paraguay,PRY,2023,0,2023
Peru,PER,2023,1.5851827,2023
Philippines,PHL,2023,1.8856755,2023
Poland,POL,2023,7.2533336,2023
Portugal,PRT,2023,10.18271,2023
Puerto Rico,,,1.4485257,2022
Qatar,QAT,2023,0.018385733,2023
Romania,ROU,2023,3.6958067,2023
Russia,RUS,2023,0.17070499,2023
Rwanda,,,2.0408163,2022
Saint Kitts and Nevis,,,0,2022
Saint Lucia,,,0,2022
Saint Vincent and the Grenadines,,,0,2022
Samoa,,,10.526316,2022
Sao Tome and Principe,,,0,2022
Saudi Arabia,SAU,2023,1.0214229,2023
Senegal,,,10.824742,2022
Serbia,SRB,2023,0.025503699,2023
Seychelles,,,12.903226,2022
Sierra Leone,,,5,2022
Singapore,SGP,2023,1.6396302,2023
Slovakia,SVK,2023,2.0587244,2023
Slovenia,SVN,2023,4.5335083,2023
Solomon Islands,,,0,2022
Somalia,,,7.894737,2022
South Africa,ZAF,2023,6.81848,2023
South Korea,KOR,2023,4.781908,2023
South Sudan,,,3.2258065,2022
Spain,ESP,2023,16.711771,2023
Sri Lanka,LKA,2023,10.159828,2023
Sudan,,,0.22396415,2022
Suriname,,,0.47846892,2022
Sweden,SWE,2023,1.4907429,2023
Switzerland,CHE,2023,5.910566,2023
Syria,,,0,2022
Taiwan,TWN,2023,4.821118,2023
Tajikistan,,,0,2022
Tanzania,,,0.5543237,2022
Thailand,THA,2023,2.6248097,2023
Togo,,,6.818182,2022
Tonga,,,12.5,2022
Trinidad and Tobago,TTO,2023,0.06410283,2023
Tunisia,TUN,2023,1.5216357,2023
Turkey,TUR,2023,5.7537756,2023
Turkmenistan,TKM,2023,0.020788405,2023
Uganda,,,2.4118738,2022
Ukraine,UKR,2023,5.521181,2023
United Arab Emirates,ARE,2023,8.330169,2023
United Kingdom,GBR,2023,4.6032233,2023
United States,USA,2023,5.6040764,2023
Uruguay,URY,2023,3.4848485,2023
Uzbekistan,UZB,2023,0.4090013,2023
Vanuatu,,,14.285714,2022
Venezuela,VEN,2023,0.0015245675,2023
Vietnam,VNM,2023,9.579712,2023
Western Sahara,,,,2023
Yemen,,,20.338984,2022
Zambia,,,0.719055,2022
Zimbabwe,,,0.33594623,2022
