Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
India,IND,2006,4.219890988812018,1292484600
India,IND,2007,4.415798994918629,1392506000
India,IND,2008,4.6437244392171815,1489437400
India,IND,2009,5.11134464116831,1612216300
India,IND,2010,5.028606650984633,1677337200
India,IND,2011,5.114435678129567,1764712400
India,IND,2012,5.501996002003425,1925699700
India,IND,2013,5.651570891445105,1995098100
India,IND,2014,6.060191979565757,2148343800
India,IND,2015,6.310481578735396,2234219500
India,IND,2016,6.648448071195753,2354658000
India,IND,2017,6.742466537879192,2426606800
India,IND,2018,7.059699662796402,2593057800
India,IND,2019,7.042013018878744,2612888000
India,IND,2020,6.893798754022694,2421552000
India,IND,2021,7.229241047597417,2674221800
India,IND,2022,7.591512327901938,2831166200
India,IND,2023,8.103195013797228,3062324500
International aviation,,1950,0.0592101951753765,3511309
International aviation,,1951,0.06097093834065799,3890817
International aviation,,1952,0.06393568281288281,4135015
International aviation,,1953,0.07292544804130675,4850188
International aviation,,1954,0.08444186192604913,5733205
International aviation,,1955,0.08815910577078585,6562472
International aviation,,1956,0.09666907134062673,7662003
International aviation,,1957,0.10291406656506229,8424180
International aviation,,1958,0.11382241103864672,9580646
International aviation,,1959,0.12441711654133984,11016749
International aviation,,1960,0.15625298820516745,14667484
International aviation,,1961,0.1934436572698542,18212802
International aviation,,1962,0.21988858521415178,21433172
International aviation,,1963,0.22606491384626323,23209570
International aviation,,1964,0.24825599995267608,26872386
International aviation,,1965,0.2754121655315649,31150630
International aviation,,1966,0.3129358811338053,37122284
International aviation,,1967,0.3783482658278662,46299600
International aviation,,1968,0.41438095961723126,53476524
International aviation,,1969,0.3778231125159778,51994724
International aviation,,1970,0.5037872467238004,75059250
International aviation,,1971,0.5317427020142838,82439940
International aviation,,1972,0.5330629379576747,86486630
International aviation,,1973,0.5323313303639082,90949304
International aviation,,1974,0.5014859520381761,85308136
International aviation,,1975,0.48987620885627536,83537380
International aviation,,1976,0.4728948271297603,85069580
International aviation,,1977,0.5196470213509372,96127600
International aviation,,1978,0.5201494627217402,99188810
International aviation,,1979,0.5260658073107225,103156350
International aviation,,1980,0.5408526471515234,105404200
International aviation,,1981,0.5581378963204687,106174040
International aviation,,1982,0.5620042385355885,106056370
International aviation,,1983,0.5711890854043472,108479720
International aviation,,1984,0.5913537212913287,116188000
International aviation,,1985,0.5803896768485672,117888180
International aviation,,1986,0.6038772583861182,124489070
International aviation,,1987,1.0214126175157525,217050910
International aviation,,1988,1.0240018240115947,226152060
International aviation,,1989,1.0807130023088973,241935220
International aviation,,1990,0.8353991360623164,189877680
International aviation,,1991,0.8570332998123102,198712480
International aviation,,1992,0.9763884321561357,219962320
International aviation,,1993,0.9984328063899498,227201090
International aviation,,1994,1.0493362258378032,241273170
International aviation,,1995,1.0838705673112012,255057280
International aviation,,1996,1.1170490826763777,270975600
International aviation,,1997,1.1858125126207635,289360800
International aviation,,1998,1.2719244001096361,309125630
International aviation,,1999,1.2830257436565375,318879680
International aviation,,2000,1.2708860250734166,324210000
International aviation,,2001,1.2680865582538514,325978000
International aviation,,2002,1.3110519733449393,344503360
International aviation,,2003,1.2961161244960067,358628670
International aviation,,2004,1.3598268215703473,389352400
International aviation,,2005,1.3873775977881393,410863360
International aviation,,2006,1.387100082267306,424846400
International aviation,,2007,1.3949187302476929,439882500
International aviation,,2008,1.3892970648443281,445605900
International aviation,,2009,1.3569843669782649,428018940
International aviation,,2010,1.3535908422539746,451502460
International aviation,,2011,1.3623058524792373,470057340
International aviation,,2012,1.3840269242040586,484409700
International aviation,,2013,1.411833494923771,498400600
International aviation,,2014,1.4055046770189494,498252740
International aviation,,2015,1.463647107155328,518202750
International aviation,,2016,1.5258738601203004,540413500
International aviation,,2017,1.5677441122452587,564229500
